restaurant_id,restaurant_name,city,locality,restaurant_type,cuisines,distance_from_city_center_km,opening_time,closing_time,days_operational,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,average_rating_both_platforms,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_platform_commission_pct,zomato_platform_commission_pct,swiggy_discount_frequency_pct,zomato_discount_frequency_pct,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,zomato_estimated_net_profit_inr,swiggy_market_share_pct,zomato_market_share_pct,platform_performance_better,amenities,amenities_count,has_own_website,has_own_app,food_license_verified,listing_date,days_listed
REST000001,Restaurant_1,Mumbai,Mumbai_Locality_9,Cafe,Italian,4.1,12:00,22:00,601,3.6,722,3.2,4847,3.4,1014,Premium,40,40,35,33,21.0,20.0,15,13,140,124,112148,100588,109348,98108,50.0,50.0,Swiggy Better,Live Music; Family Friendly; Vegan Options; WiFi; Dine-in; Outdoor Seating,6,False,False,True,2023-03-04,1168
REST000002,Restaurant_2,Mumbai,Mumbai_Locality_13,Casual Dining,Mughlai,1.9,09:00,23:00,3501,4.2,4402,3.4,1032,3.8,925,Premium,30,30,32,30,22.0,19.0,16,6,279,226,201298,169330,197113,165940,49.0,51.0,Swiggy Better,Dessert Bar; Live Music; Rooftop,3,False,True,True,2016-09-11,3533
REST000003,Restaurant_3,Mumbai,Mumbai_Locality_12,Fine Dine,Mediterranean,2.9,08:00,23:00,1485,3.8,594,3.4,5000,3.6,1450,Luxury,34,34,34,37,14.0,18.0,15,13,137,122,170839,145058,168510,142984,42.0,58.0,Swiggy Better,Dessert Bar; Parking; Rooftop; Dine-in,4,True,True,False,2017-04-05,3327
REST000004,Restaurant_4,Mumbai,Mumbai_Locality_19,Cloud Kitchen,Desserts,13.2,08:00,23:00,1318,3.3,3768,4.5,1180,3.9,692,Mid-Range,86,86,56,57,26.0,25.0,14,32,233,318,119314,165042,109295,151368,66.0,34.0,Zomato Better,Live Music; Outdoor Seating; Alcohol; Family Friendly; Takeaway,5,True,True,True,2024-07-28,656
REST000005,Restaurant_5,Mumbai,Mumbai_Locality_13,Cafe,Mexican,6.0,11:00,23:00,1947,4.8,104,3.9,948,4.35,1249,Luxury,50,50,37,28,19.0,18.0,5,9,218,177,220548,181279,215098,176854,52.0,48.0,Swiggy Better,Rooftop; Outdoor Seating; Alcohol; Takeaway; Dessert Bar; WiFi; Smoking Area,7,True,True,True,2022-02-04,1561
REST000006,Restaurant_6,Mumbai,Mumbai_Locality_11,Food Truck,Thai; Vietnamese,7.6,09:00,23:00,488,4.0,4657,4.3,655,4.15,325,Mid-Range,58,58,39,31,20.0,18.0,25,15,102,110,26520,29315,23562,26125,65.0,35.0,Zomato Better,Alcohol; Private Room; Vegan Options; AC; Live Music,5,True,False,False,2021-10-24,1664
REST000007,Restaurant_7,Mumbai,Mumbai_Locality_8,Cloud Kitchen,Thai,3.8,07:00,22:00,1414,4.0,492,4.0,1885,4.0,288,Budget,39,39,40,27,23.0,26.0,16,14,286,286,63423,60952,57846,55375,56.0,44.0,Swiggy Better,Smoking Area; Vegan Options; Private Room; Family Friendly; Live Music; Bar; AC; Dessert Bar,8,True,True,False,2018-11-24,2729
REST000008,Restaurant_8,Mumbai,Mumbai_Locality_2,QSR (Quick Service),Mexican,10.3,07:00,22:00,2676,3.7,905,4.2,2046,3.95,542,Mid-Range,71,71,47,50,19.0,18.0,6,24,227,258,99657,114665,91599,105506,53.0,47.0,Zomato Better,Takeaway; Dine-in; Dessert Bar; Alcohol; Private Room; Smoking Area; Live Music,7,True,False,False,2020-11-03,2019
REST000009,Restaurant_9,Mumbai,Mumbai_Locality_13,Casual Dining,Mediterranean; Fast Food,0.5,09:00,23:00,1629,3.9,4562,4.6,3996,4.25,467,Mid-Range,30,30,27,29,21.0,17.0,10,21,214,253,78951,98065,75741,94270,41.0,59.0,Zomato Better,Vegan Options; Family Friendly; Alcohol,3,True,True,True,2020-08-04,2110
REST000010,Restaurant_10,Mumbai,Mumbai_Locality_8,Casual Dining,Chinese,6.4,08:00,22:00,2363,3.7,4791,3.7,4640,3.7,1220,Luxury,52,52,36,41,19.0,19.0,7,15,220,220,217404,217404,211684,211684,50.0,50.0,Balanced,WiFi; Family Friendly; Parking; Takeaway; Dine-in; Private Room; Bar; Alcohol,8,True,False,False,2024-10-20,572
REST000011,Restaurant_11,Mumbai,Mumbai_Locality_6,Fine Dine,Cafe,6.9,12:00,23:00,2255,3.1,4343,3.2,74,3.15,1285,Luxury,54,54,36,45,13.0,13.0,6,13,121,125,135271,139743,132004,136368,54.0,46.0,Zomato Better,WiFi; Smoking Area; Vegan Options; Live Music,4,False,True,False,2018-07-31,2845
REST000012,Restaurant_12,Mumbai,Mumbai_Locality_2,Food Truck,Multi-Cuisine,1.8,09:00,22:00,1764,4.7,2155,4.0,1333,4.35,1054,Premium,30,30,23,26,17.0,22.0,24,11,140,119,122474,97832,120374,96047,45.0,55.0,Swiggy Better,Vegan Options; Alcohol; Outdoor Seating; AC; Rooftop,5,True,False,True,2022-03-14,1523
REST000013,Restaurant_13,Mumbai,Mumbai_Locality_4,QSR (Quick Service),Bakery; Biryani,5.6,10:00,22:00,2323,4.3,1341,3.9,1460,4.1,994,Premium,48,48,44,37,23.0,22.0,17,9,255,231,195171,179098,189051,173554,52.0,48.0,Swiggy Better,Rooftop; Bar; Takeaway; AC,4,True,False,True,2023-10-17,941
REST000014,Restaurant_14,Mumbai,Mumbai_Locality_8,Cloud Kitchen,Pan-Asian,3.7,08:00,23:00,2733,3.6,2296,4.7,2886,4.15,1463,Luxury,38,38,24,31,24.0,22.0,9,25,296,387,329116,441621,323492,434268,72.0,28.0,Zomato Better,WiFi; Dine-in; Takeaway; Vegan Options; AC; Parking; Bar,7,False,True,True,2021-12-20,1607
REST000015,Restaurant_15,Mumbai,Mumbai_Locality_17,QSR (Quick Service),South Indian; North Indian,13.9,12:00,22:00,2235,3.9,2714,4.1,2581,4.0,405,Mid-Range,89,89,52,48,19.0,19.0,9,14,229,240,75123,78732,64932,68052,51.0,49.0,Zomato Better,AC; Dessert Bar; Smoking Area; Private Room,4,True,False,True,2021-09-25,1693
REST000016,Restaurant_16,Mumbai,Mumbai_Locality_19,QSR (Quick Service),Seafood,9.3,10:00,23:00,1349,3.7,3886,4.1,1400,3.9,1499,Luxury,66,66,48,46,19.0,22.0,8,19,197,218,239195,254889,232694,247695,58.0,42.0,Zomato Better,Rooftop; Live Music; Outdoor Seating; Dine-in,4,True,True,True,2020-12-16,1976
REST000017,Restaurant_17,Mumbai,Mumbai_Locality_7,Cloud Kitchen,Mexican; Korean,10.9,10:00,23:00,1602,4.0,55,4.6,883,4.3,1020,Premium,74,74,48,55,25.0,25.0,6,34,292,336,223380,257040,212576,244608,69.0,31.0,Zomato Better,Rooftop; Family Friendly; Dessert Bar; Alcohol,4,False,False,False,2019-06-02,2539
REST000018,Restaurant_18,Mumbai,Mumbai_Locality_15,Food Truck,Street Food; Multi-Cuisine,4.3,12:00,23:00,1042,4.0,1969,3.5,2259,3.75,1050,Premium,41,41,37,35,19.0,20.0,14,7,109,95,92704,79800,90470,77852,50.0,50.0,Swiggy Better,AC; Bar; Outdoor Seating; Private Room,4,True,True,False,2021-08-20,1729
REST000019,Restaurant_19,Mumbai,Mumbai_Locality_2,QSR (Quick Service),Japanese,3.5,10:00,22:00,1750,4.4,3126,3.5,3917,3.95,162,Budget,37,37,35,30,22.0,22.0,17,12,245,195,30958,24640,26425,21032,53.0,47.0,Swiggy Better,WiFi; AC; Family Friendly; Dine-in,4,False,False,False,2018-10-15,2769
REST000020,Restaurant_20,Mumbai,Mumbai_Locality_20,Cafe,Fast Food; Continental,8.2,11:00,22:00,1643,4.4,3792,4.2,1498,4.3,252,Budget,60,60,41,45,19.0,22.0,18,23,194,185,39599,36363,33779,30813,54.0,46.0,Swiggy Better,Private Room; Takeaway; Family Friendly; Dine-in; Alcohol,5,True,False,True,2023-10-10,948
REST000021,Restaurant_21,Mumbai,Mumbai_Locality_7,Cafe,South Indian; Cafe,12.7,08:00,22:00,2574,4.4,4630,4.4,1795,4.4,1102,Premium,83,83,47,42,21.0,21.0,13,15,214,214,186304,186304,177423,177423,48.0,52.0,Balanced,Takeaway; Vegan Options; Dine-in; WiFi; Private Room,5,False,False,True,2018-04-09,2958
REST000022,Restaurant_22,Mumbai,Mumbai_Locality_8,Fine Dine,Korean; Lebanese,2.0,09:00,22:00,3194,4.1,346,3.5,2854,3.8,1241,Luxury,30,30,24,31,14.0,17.0,25,6,176,150,187837,154504,185197,152254,48.0,52.0,Swiggy Better,Parking; Dessert Bar; Family Friendly; Bar; Outdoor Seating; AC,6,True,False,False,2019-05-20,2552
REST000023,Restaurant_23,Mumbai,Mumbai_Locality_9,Cloud Kitchen,Mexican; Korean,5.2,07:00,23:00,1035,4.2,3816,3.8,4678,4.0,1399,Luxury,46,46,33,31,24.0,25.0,21,9,287,260,305149,272805,298548,266825,65.0,35.0,Swiggy Better,WiFi; Vegan Options; Bar; Smoking Area; Alcohol,5,True,True,True,2025-04-30,380
REST000024,Restaurant_24,Mumbai,Mumbai_Locality_8,Cafe,Mexican,10.5,12:00,23:00,2675,3.9,2420,4.0,1825,3.95,978,Premium,72,72,44,42,20.0,20.0,11,20,191,196,149438,153350,142562,146294,57.0,43.0,Zomato Better,Bar; Family Friendly; WiFi; Rooftop; Smoking Area,5,True,True,True,2018-03-14,2984
REST000025,Restaurant_25,Mumbai,Mumbai_Locality_7,QSR (Quick Service),Italian; Fast Food,3.6,09:00,23:00,2013,4.8,2436,3.9,1873,4.35,889,Premium,38,38,32,32,19.0,23.0,37,9,275,223,198024,152650,192799,148413,56.0,44.0,Swiggy Better,Outdoor Seating; Dessert Bar; Rooftop; Family Friendly; Takeaway; Dine-in; WiFi; Bar,8,False,False,True,2022-06-20,1425
REST000026,Restaurant_26,Mumbai,Mumbai_Locality_4,Fine Dine,Desserts; Multi-Cuisine,12.4,10:00,22:00,1671,3.5,1252,3.7,1232,3.6,1302,Luxury,82,82,51,49,15.0,14.0,14,14,129,136,142764,152281,137475,146705,44.0,56.0,Zomato Better,Rooftop; Alcohol; AC; Family Friendly,4,False,False,False,2016-08-22,3553
REST000027,Restaurant_27,Mumbai,Mumbai_Locality_4,QSR (Quick Service),Korean; Vietnamese,14.2,12:00,22:00,881,4.0,1974,4.2,1433,4.1,1280,Luxury,91,91,53,53,21.0,19.0,17,19,201,211,203251,218764,194105,209164,54.0,46.0,Zomato Better,WiFi; Bar; Family Friendly; Takeaway; Dessert Bar; Live Music; Smoking Area; Vegan Options,8,False,True,True,2020-03-07,2260
REST000028,Restaurant_28,Mumbai,Mumbai_Locality_3,Cafe,Continental; Continental,1.4,09:00,23:00,3276,3.6,2501,4.2,3307,3.9,707,Premium,30,30,21,27,17.0,20.0,10,18,187,219,109733,123866,106928,120581,47.0,53.0,Zomato Better,Takeaway; Live Music; Dessert Bar,3,True,False,True,2019-10-29,2390
REST000029,Restaurant_29,Mumbai,Mumbai_Locality_15,Casual Dining,Multi-Cuisine,13.8,11:00,23:00,773,3.7,757,3.7,3860,3.7,862,Premium,89,89,48,54,18.0,19.0,12,9,184,184,130058,128472,121870,120284,42.0,58.0,Swiggy Better,AC; Private Room; Rooftop; Alcohol; Dine-in; Family Friendly; Takeaway; Parking,8,False,False,False,2024-12-27,504
REST000030,Restaurant_30,Mumbai,Mumbai_Locality_15,Food Truck,North Indian; Japanese,6.5,11:00,23:00,798,3.7,3631,3.7,432,3.7,566,Mid-Range,52,52,37,40,22.0,20.0,5,15,98,98,43265,44374,40717,41826,51.0,49.0,Zomato Better,Rooftop; Live Music; Bar; Outdoor Seating; WiFi; Alcohol; Dine-in,7,False,True,True,2023-10-08,950
REST000031,Restaurant_31,Mumbai,Mumbai_Locality_16,Cloud Kitchen,Italian; Continental,14.0,11:00,23:00,1225,3.6,3878,4.2,2006,3.9,1085,Premium,90,90,48,51,25.0,27.0,6,18,252,294,205065,232862,193725,219632,73.0,27.0,Zomato Better,Parking; Rooftop; Alcohol; WiFi; Dine-in; Bar,6,False,False,True,2016-08-01,3574
REST000032,Restaurant_32,Mumbai,Mumbai_Locality_11,Cloud Kitchen,Japanese,8.5,10:00,23:00,2255,4.7,1966,3.7,4694,4.2,934,Premium,62,62,42,50,26.0,26.0,32,11,369,290,255038,200436,243599,191446,56.0,44.0,Swiggy Better,Rooftop; Private Room; Dessert Bar; Outdoor Seating; Family Friendly; Dine-in; Bar; Parking,8,True,False,False,2025-03-03,438
REST000033,Restaurant_33,Mumbai,Mumbai_Locality_5,Fine Dine,Continental,1.6,09:00,23:00,3231,3.7,667,3.7,2701,3.7,1242,Luxury,30,30,25,31,17.0,17.0,5,14,160,160,164937,164937,162537,162537,51.0,49.0,Balanced,Live Music; Dessert Bar; Private Room,3,False,True,True,2017-11-30,3088
